interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_traveltime;edge_waitingTime
0.00;300.00;ed1;0;7.90;0;32;center;0;0;7.90;30;3.95;22.80;711.28;13.38;22.43;0.00
0.00;300.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
0.00;300.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
0.00;300.00;ed1;0;8.62;34;0;origin;0;0;8.62;32;4.31;15.85;517.18;12.93;15.46;0.00
0.00;300.00;ed1;28;7.15;0;29;right;0;0;7.15;0;3.58;7.83;214.56;13.41;7.46;0.00
0.00;300.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
0.00;300.00;ed1;0;11.46;0;30;tls;0;0;11.46;29;5.73;12.14;343.65;8.65;11.56;0.00
300.00;600.00;ed1;0;8.06;0;34;center;0;0;8.06;34;4.03;22.43;725.01;13.59;22.07;0.00
300.00;600.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
300.00;600.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
300.00;600.00;ed1;0;8.57;34;0;origin;0;0;8.57;34;4.29;15.90;514.30;12.89;15.51;0.00
300.00;600.00;ed1;34;7.96;0;33;right;0;0;7.96;0;3.98;7.55;238.84;13.91;7.19;0.00
300.00;600.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
300.00;600.00;ed1;0;12.49;0;34;tls;0;0;12.49;33;6.25;11.90;374.78;8.82;11.34;0.00
600.00;900.00;ed1;0;8.23;0;34;center;0;0;8.23;32;4.11;22.46;740.56;13.58;22.09;0.00
600.00;900.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
600.00;900.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
600.00;900.00;ed1;0;8.49;32;0;origin;0;0;8.49;34;4.24;15.62;509.11;13.12;15.24;0.00
600.00;900.00;ed1;33;8.26;0;34;right;0;0;8.26;0;4.13;7.66;247.90;13.72;7.29;0.00
600.00;900.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
600.00;900.00;ed1;0;12.60;0;32;tls;0;0;12.60;34;6.30;11.95;377.96;8.79;11.38;0.00
900.00;1200.00;ed1;0;17.29;0;70;center;0;0;17.29;69;8.65;22.77;1556.20;13.39;22.40;0.00
900.00;1200.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
900.00;1200.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
900.00;1200.00;ed1;0;18.38;74;0;origin;0;0;18.38;70;9.19;15.67;1102.66;13.08;15.29;0.00
900.00;1200.00;ed1;64;15.54;0;64;right;0;0;15.54;0;7.77;7.65;466.22;13.72;7.29;0.00
900.00;1200.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
900.00;1200.00;ed1;0;27.90;0;69;tls;0;0;27.90;64;13.95;13.06;837.04;8.04;12.43;0.00
1200.00;1500.00;ed1;0;18.39;0;74;center;0;0;18.39;73;9.19;22.93;1654.67;13.30;22.56;0.00
1200.00;1500.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
1200.00;1500.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
1200.00;1500.00;ed1;0;18.71;74;0;origin;0;0;18.71;74;9.36;15.72;1122.61;13.04;15.33;0.00
1200.00;1500.00;ed1;75;18.16;0;74;right;0;0;18.16;0;9.08;7.73;544.76;13.59;7.36;0.00
1200.00;1500.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
1200.00;1500.00;ed1;0;29.78;0;73;tls;0;0;29.78;74;14.89;12.85;893.46;8.17;12.24;0.00
1500.00;1800.00;ed1;0;19.21;0;74;center;0;0;19.21;72;9.60;23.88;1728.83;12.77;23.49;0.00
1500.00;1800.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
1500.00;1800.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
1500.00;1800.00;ed1;0;19.12;72;0;origin;0;0;19.12;74;9.56;15.95;1147.31;12.85;15.56;0.00
1500.00;1800.00;ed1;74;18.76;0;75;right;0;0;18.76;0;9.38;7.98;562.70;13.16;7.60;0.00
1500.00;1800.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
1500.00;1800.00;ed1;0;31.35;0;72;tls;0;0;31.35;75;15.68;13.43;940.54;7.82;12.79;0.00
1800.00;2100.00;ed1;0;28.58;0;110;center;0;0;28.58;109;14.29;23.98;2572.28;12.72;23.58;0.00
1800.00;2100.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
1800.00;2100.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
1800.00;2100.00;ed1;0;28.57;114;0;origin;0;0;28.57;110;14.28;15.71;1714.07;13.04;15.33;0.00
1800.00;2100.00;ed1;103;25.69;0;104;right;0;0;25.69;0;12.85;7.75;770.77;13.55;7.38;0.00
1800.00;2100.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
1800.00;2100.00;ed1;0;52.13;0;109;tls;0;0;52.13;104;26.06;15.54;1563.85;6.76;14.80;0.00
2100.00;2400.00;ed1;0;31.27;0;113;center;0;0;31.27;113;15.64;25.30;2814.42;12.05;24.89;0.00
2100.00;2400.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
2100.00;2400.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
2100.00;2400.00;ed1;0;29.76;114;0;origin;0;0;29.76;113;14.88;16.15;1785.89;12.70;15.75;0.00
2100.00;2400.00;ed1;110;27.30;0;110;right;0;0;27.30;0;13.65;7.85;818.98;13.37;7.48;0.00
2100.00;2400.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
2100.00;2400.00;ed1;0;65.91;0;113;tls;0;0;65.91;110;32.95;18.35;1977.16;5.72;17.48;0.00
2400.00;2700.00;ed1;0;29.15;0;113;center;0;0;29.15;113;14.57;23.60;2623.06;12.92;23.22;0.00
2400.00;2700.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
2400.00;2700.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
2400.00;2700.00;ed1;0;29.20;112;0;origin;0;0;29.20;113;14.60;15.85;1751.88;12.94;15.46;0.00
2400.00;2700.00;ed1;118;28.74;0;118;right;0;0;28.74;0;14.37;7.69;862.09;13.66;7.32;0.00
2400.00;2700.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
2400.00;2700.00;ed1;0;61.64;0;113;tls;0;0;61.64;118;30.82;16.95;1849.28;6.19;16.14;0.00
2700.00;3000.00;ed1;0;80.60;0;150;center;0;0;80.60;117;40.30;55.43;7253.88;5.50;54.52;0.00
2700.00;3000.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
2700.00;3000.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
2700.00;3000.00;ed1;0;42.28;153;0;origin;0;0;42.28;150;21.14;17.25;2536.56;11.88;16.83;0.00
2700.00;3000.00;ed1;115;28.69;0;116;right;0;0;28.69;0;14.35;7.82;860.74;13.42;7.45;0.00
2700.00;3000.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
2700.00;3000.00;ed1;0;57.17;0;117;tls;0;0;57.17;116;28.59;15.51;1715.14;6.77;14.77;0.00
3000.00;3300.00;ed1;0;75.58;0;90;center;0;0;75.58;120;37.79;65.98;6802.02;4.62;64.90;0.00
3000.00;3300.00;ed1;0;;0;0;left;0;0;;0;;;0.00;;;
3000.00;3300.00;ed1;0;;0;0;left_d;0;0;;0;;;0.00;;;
3000.00;3300.00;ed1;0;124.16;106;0;origin;0;0;124.16;90;62.08;76.42;7449.48;2.68;74.56;0.00
3000.00;3300.00;ed1;118;30.01;0;117;right;0;0;30.01;0;15.00;8.04;900.28;13.06;7.66;0.00
3000.00;3300.00;ed1;0;;0;0;right_u;0;0;;0;;;0.00;;;
